,stasiun,pm10,so2,co,o3,no2,categori
260,DKI5 (Kebon Jeruk),53.0,6.0,6.0,66.0,9.0,SEDANG
261,DKI5 (Kebon Jeruk),56.0,8.0,7.0,59.0,10.0,SEDANG
262,DKI5 (Kebon Jeruk),61.0,8.0,9.0,77.0,13.0,SEDANG
263,DKI5 (Kebon Jeruk),75.0,8.0,10.0,125.0,10.0,TIDAK SEHAT
264,DKI5 (Kebon Jeruk),75.0,6.0,7.0,64.0,9.0,SEDANG
265,DKI5 (Kebon Jeruk),70.0,7.0,10.0,139.0,12.0,TIDAK SEHAT
266,DKI5 (Kebon Jeruk),58.0,8.0,6.0,85.0,12.0,SEDANG
267,DKI5 (Kebon Jeruk),68.0,8.0,7.0,64.0,8.0,SEDANG
268,DKI5 (Kebon Jeruk),63.0,7.0,7.0,81.0,8.0,SEDANG
269,DKI5 (Kebon Jeruk),66.0,7.0,8.0,86.0,10.0,SEDANG
270,DKI5 (Kebon Jeruk),78.0,8.0,11.0,98.0,13.0,SEDANG
271,DKI5 (Kebon Jeruk),66.0,9.0,7.0,94.0,11.0,SEDANG
272,DKI5 (Kebon Jeruk),65.0,10.0,6.0,70.0,13.0,SEDANG
273,DKI5 (Kebon Jeruk),76.0,8.0,9.0,105.0,11.0,TIDAK SEHAT
274,DKI5 (Kebon Jeruk),64.0,6.0,5.0,85.0,12.0,SEDANG
275,DKI5 (Kebon Jeruk),66.0,7.0,8.0,82.0,11.0,SEDANG
276,DKI5 (Kebon Jeruk),52.0,7.0,7.0,63.0,12.0,SEDANG
277,DKI5 (Kebon Jeruk),68.0,7.0,9.0,138.0,10.0,TIDAK SEHAT
278,DKI5 (Kebon Jeruk),77.0,7.0,9.0,75.0,9.0,SEDANG
279,DKI5 (Kebon Jeruk),69.0,10.0,8.0,91.0,10.0,SEDANG
280,DKI5 (Kebon Jeruk),71.0,8.0,8.0,66.0,11.0,SEDANG
281,DKI5 (Kebon Jeruk),62.0,6.0,6.0,134.0,9.0,TIDAK SEHAT
282,DKI5 (Kebon Jeruk),66.0,6.0,7.0,93.0,8.0,SEDANG
283,DKI5 (Kebon Jeruk),61.0,7.0,6.0,128.0,9.0,TIDAK SEHAT
284,DKI5 (Kebon Jeruk),60.0,8.0,5.0,79.0,8.0,SEDANG
285,DKI5 (Kebon Jeruk),76.0,7.0,7.0,117.0,11.0,TIDAK SEHAT
286,DKI5 (Kebon Jeruk),50.0,7.0,5.0,88.0,8.0,SEDANG
287,DKI5 (Kebon Jeruk),60.0,8.0,5.0,82.0,9.0,SEDANG
288,DKI5 (Kebon Jeruk),68.0,9.0,5.0,84.0,8.0,SEDANG
289,DKI5 (Kebon Jeruk),74.0,10.0,7.0,82.0,8.0,SEDANG
290,DKI5 (Kebon Jeruk),73.0,7.0,8.0,54.0,9.0,SEDANG
291,DKI5 (Kebon Jeruk),89.0,10.0,11.0,85.0,16.0,SEDANG
292,DKI5 (Kebon Jeruk),82.0,10.0,10.0,110.0,13.0,TIDAK SEHAT
293,DKI5 (Kebon Jeruk),75.0,7.0,9.0,110.0,10.0,TIDAK SEHAT
294,DKI5 (Kebon Jeruk),73.0,8.0,5.0,91.0,9.0,SEDANG
295,DKI5 (Kebon Jeruk),74.0,9.0,6.0,105.0,11.0,TIDAK SEHAT
296,DKI5 (Kebon Jeruk),69.0,7.0,6.0,134.0,7.0,TIDAK SEHAT
297,DKI5 (Kebon Jeruk),61.0,8.0,6.0,79.0,11.0,SEDANG
298,DKI5 (Kebon Jeruk),90.0,9.0,11.0,88.0,21.0,SEDANG
299,DKI5 (Kebon Jeruk),70.0,8.0,9.0,117.0,12.0,TIDAK SEHAT
300,DKI5 (Kebon Jeruk),60.0,7.0,5.0,81.0,11.0,SEDANG
301,DKI5 (Kebon Jeruk),71.0,7.0,8.0,77.0,12.0,SEDANG
302,DKI5 (Kebon Jeruk),62.0,8.0,7.0,88.0,10.0,SEDANG
303,DKI5 (Kebon Jeruk),57.0,7.0,7.0,74.0,11.0,SEDANG
304,DKI5 (Kebon Jeruk),59.0,7.0,6.0,85.0,8.0,SEDANG
305,DKI5 (Kebon Jeruk),54.0,8.0,6.0,76.0,9.0,SEDANG
306,DKI5 (Kebon Jeruk),59.0,8.0,7.0,60.0,11.0,SEDANG
